temperature_c,humidity,wind_speed_kmh,precipitation,battery_percentage,vehicle_speed_kmh,hvac_usage,terrain_type,battery_age_years,battery_capacity_kwh,epa_range_km,vehicle_weight_kg,range_degradation_pct
-3.8,44,58.4,none,37,114.7,True,flat,8.2,92.6,570.7,1539,37.92
36.6,40,14.8,none,19,79.5,True,hilly,1.5,94.4,571.7,1609,20.07
21.2,26,27.7,snow,21,49.5,False,flat,9.5,62.7,357.5,1932,15.44
11.9,65,53.1,none,26,103.7,True,flat,8.4,53.9,322.7,2446,28.88
-19.1,53,38.6,none,28,71.9,True,flat,9.2,51.5,295.1,1575,60.35
-19.1,88,59.1,rain,32,89.5,True,hilly,2.9,92.9,586.9,2221,63.01
-25.9,13,76.9,rain,33,40.7,True,mountainous,3.4,53.9,359.3,2007,65.0
30.6,68,9.3,none,51,93.2,True,hilly,4.7,71.9,472.3,1776,31.51
12.1,79,56.8,none,56,67.4,True,hilly,2.2,59.9,340.3,1817,28.31
19.6,78,18.4,none,38,63.4,False,hilly,4.7,69.9,420.9,1523,10.4
-28.6,90,33.2,none,92,128.0,True,flat,0.1,60.7,305.0,2200,65.0
37.9,76,2.6,rain,60,73.2,True,hilly,8.8,57.6,388.1,1600,27.13
28.3,94,10.9,snow,81,97.8,False,flat,1.6,65.6,360.4,1535,14.53
-15.1,40,25.6,rain,93,92.8,True,flat,5.0,60.0,352.8,1968,57.82
-17.3,55,27.4,none,25,40.4,True,hilly,9.3,90.4,479.5,1977,58.18
-17.2,11,72.0,rain,49,104.8,True,flat,8.2,74.8,475.7,2155,65.0
-8.7,11,59.3,none,49,62.3,True,flat,7.8,50.6,308.0,2206,46.61
6.7,32,77.8,none,42,109.9,False,hilly,6.1,54.2,310.3,2009,25.96
0.2,19,47.9,none,11,90.8,True,flat,4.4,43.2,262.3,2208,40.38
-9.6,33,19.3,none,83,61.7,True,hilly,4.5,58.0,309.5,1750,37.88
12.8,26,26.2,snow,20,65.6,False,flat,0.9,80.2,525.2,1644,14.27
-20.2,13,25.6,none,100,103.2,True,flat,0.6,51.0,282.0,2431,62.09
-9.5,92,26.1,none,80,85.0,True,flat,8.4,46.0,286.3,1873,46.57
-4.4,11,53.8,none,62,96.8,True,flat,4.1,59.3,402.9,1590,34.15
1.9,76,42.5,rain,24,45.8,True,flat,0.5,76.8,389.7,2327,22.22
25.0,24,30.8,none,56,108.7,False,flat,6.6,68.4,394.8,2113,10.98
-16.0,92,11.9,none,33,62.0,True,flat,6.8,59.9,315.8,2092,49.77
6.0,90,1.8,rain,33,92.0,True,flat,2.3,93.0,633.9,1633,32.16
11.5,69,17.5,none,85,41.5,True,flat,4.1,68.1,389.6,2257,17.19
-26.7,71,8.6,none,44,62.1,True,flat,5.7,67.3,365.2,1704,65.0
12.5,10,62.8,none,51,94.9,True,hilly,6.0,41.9,266.2,1542,31.99
-18.1,99,9.0,none,86,57.4,True,flat,5.1,78.4,476.9,1661,55.8
-25.4,89,57.9,snow,18,118.0,True,hilly,3.6,67.6,448.2,2201,65.0
36.4,91,30.9,none,64,96.1,True,flat,0.7,48.7,316.9,2291,20.66
37.6,69,5.9,snow,62,117.0,True,mountainous,0.2,54.6,379.6,1747,41.7
26.6,41,65.0,none,48,69.5,False,flat,4.6,52.1,270.2,1815,8.11
-8.7,90,46.4,snow,85,33.4,True,hilly,2.0,47.3,244.2,1663,55.54
-23.2,36,18.9,none,95,87.6,True,flat,9.4,66.1,450.7,1953,65.0
17.9,61,71.6,none,52,63.9,False,mountainous,6.4,61.8,427.1,1720,28.24
0.8,19,3.6,none,51,74.8,True,hilly,5.9,61.6,358.1,2484,37.51
-21.5,93,16.1,none,55,98.1,True,flat,4.1,55.1,325.7,2267,65.0
4.7,23,60.2,none,75,100.1,True,flat,3.3,66.2,379.7,2097,25.44
-27.6,30,56.8,none,70,32.8,True,flat,1.8,72.9,477.6,2221,65.0
33.7,60,23.1,none,30,106.9,True,flat,0.6,76.7,501.7,1667,14.64
-11.9,79,5.0,none,16,79.4,True,flat,6.3,53.2,289.4,2244,51.8
16.4,66,68.6,none,95,85.7,False,flat,7.8,83.7,482.6,1846,17.64
-8.2,31,25.1,none,33,59.8,True,flat,8.6,41.6,225.8,1970,41.84
6.4,10,15.7,rain,67,72.1,True,flat,7.2,85.0,433.1,2385,25.29
8.3,78,41.3,none,85,101.0,True,hilly,9.0,57.0,291.3,2444,34.84
-17.1,99,72.8,snow,37,107.7,True,flat,9.8,62.2,329.3,2269,65.0
37.9,83,3.5,none,67,68.7,True,flat,9.6,74.8,378.7,2268,17.23
24.3,51,61.3,snow,20,99.1,False,flat,5.9,76.6,448.0,2245,19.73
35.8,91,45.8,none,97,55.8,True,flat,2.2,65.3,334.7,2126,9.2
32.6,47,34.0,snow,15,113.2,True,flat,1.1,96.3,644.5,1696,29.63
11.9,57,59.5,none,49,91.0,True,flat,9.9,91.5,587.8,2088,27.56
34.5,53,77.3,rain,58,107.5,True,flat,3.1,53.5,351.4,1557,24.59
-23.8,50,18.3,rain,81,77.7,True,flat,0.3,75.3,469.7,1531,65.0
-16.3,80,11.5,none,21,52.9,True,hilly,3.9,83.3,526.8,2338,61.21
-26.8,57,73.0,none,50,72.9,True,mountainous,7.5,53.0,277.1,2041,65.0
-7.2,39,53.5,rain,37,68.1,True,hilly,8.9,41.1,210.3,1516,44.94
-2.8,33,35.0,none,38,63.3,True,flat,4.8,98.5,687.6,1773,39.29
-11.0,13,45.9,none,80,51.2,True,flat,2.9,97.5,560.2,2183,41.37
28.0,62,59.6,none,10,105.9,False,hilly,7.8,59.2,302.2,2439,19.76
-5.0,31,61.8,none,77,38.6,True,mountainous,5.0,54.3,289.1,2344,52.96
-10.3,23,73.6,rain,83,118.8,True,flat,0.9,49.3,332.5,1945,48.23
8.0,69,34.1,none,91,47.5,True,hilly,8.9,81.2,439.6,1786,29.51
-20.1,71,23.5,none,66,128.0,True,hilly,6.6,85.3,506.3,1810,65.0
26.2,78,51.2,none,40,128.8,False,mountainous,0.4,65.2,413.2,2234,24.82
-24.8,55,33.3,none,48,69.8,True,flat,0.1,54.6,378.3,2304,65.0
39.1,90,47.6,snow,97,128.8,False,flat,0.9,66.9,336.5,1865,18.85
24.1,94,33.6,none,89,116.9,False,flat,8.2,71.0,424.1,2123,16.95
-16.1,83,12.2,none,52,38.2,True,hilly,4.8,72.6,507.7,2246,62.71
-29.6,67,37.6,none,95,124.7,True,hilly,3.4,66.6,349.2,2346,65.0
27.1,37,55.3,rain,84,34.3,False,mountainous,2.5,40.2,211.1,2141,24.54
19.5,98,63.9,none,91,48.2,False,hilly,5.1,68.3,353.4,2364,12.82
21.0,35,39.5,none,71,88.5,False,flat,0.8,60.8,366.0,1782,8.8
24.0,28,13.2,none,87,38.1,False,flat,6.2,73.4,418.1,2199,3.2
-24.8,50,33.2,none,90,46.2,True,flat,3.8,44.2,284.1,1902,65.0
-4.9,15,62.9,none,18,125.3,True,mountainous,8.6,92.8,569.7,2429,58.31
-21.9,98,33.0,none,97,129.5,True,flat,7.5,92.5,570.1,1719,65.0
30.4,63,55.7,rain,40,109.8,True,hilly,0.2,73.8,444.7,2287,26.89
13.6,60,40.6,snow,50,81.5,True,flat,1.7,84.2,588.3,2432,23.87
-6.8,69,19.3,rain,81,120.0,True,hilly,4.7,66.3,402.8,2182,45.88
-25.6,55,63.7,none,70,41.2,True,flat,6.6,75.4,388.0,2289,65.0
-8.2,13,6.7,none,90,124.3,False,hilly,7.2,77.1,435.0,2386,43.67
-7.2,65,42.0,none,46,65.2,True,hilly,8.2,61.2,401.8,1810,39.81
21.1,74,16.7,rain,44,116.1,False,flat,0.5,97.7,611.0,1625,8.73
14.6,48,5.4,none,13,96.8,True,flat,0.2,76.2,485.0,2437,21.98
